network_id,size_N,is_robust,avg_safety_margin,reg_effort_V,V0_winter,V0_summer,min_V_winter,max_V_summer
9832,90,True,5.3037884833459685,4.0,238.0,230.0,207.28,242.68
16391,86,True,10.14116525567536,4.25,238.5,230.0,207.12,232.16
14255,81,False,8.758868088982496,5.25,240.5,230.0,207.08,231.58
15710,79,False,1.69260769081788,5.5,241.0,230.0,207.21,249.83
5161,75,False,0.37363064869096263,10.5,240.5,219.5,207.51,252.76
11037,74,False,4.51627435262553,5.25,240.5,230.0,207.05,244.02
4707,69,True,8.979320793334324,3.25,236.5,230.0,207.14,235.18
11005,69,True,7.608303225667839,0.0,230.0,230.0,209.26,240.04
10113,65,True,7.853471778800582,2.0,234.0,230.0,207.55,237.84
17351,65,False,0.7192643397917209,4.75,230.0,220.5,208.37,252.94
